x1,y1,x2,y2,confidence,class
599.83746,387.22147,25.813602,110.76226,0.5606653,0.9388957
599.9789,387.39172,26.115055,109.777435,0.68908787,0.9582142
599.86304,387.3112,25.588068,110.45181,0.55192786,0.95170355
600.0737,387.3508,25.68216,109.90232,0.69152284,0.9723068
599.8758,387.4457,25.541061,110.85312,0.55976075,0.9645891
600.10126,387.64697,25.69873,109.87238,0.6821929,0.9779929
414.5731,378.10574,261.78668,312.1751,0.65765184,0.9990779
418.59824,379.3619,260.04868,313.74716,0.7539692,0.9993917
414.6835,378.0235,260.83218,314.41754,0.6522451,0.99967086
418.71298,379.12216,260.86707,313.81058,0.75602204,0.99957854
414.60007,378.13736,261.2291,314.64838,0.6515861,0.99970144
418.69675,379.1252,261.90854,313.6103,0.7552668,0.99945766
