x1,y1,x2,y2,confidence,class
530.0923,420.80746,114.95848,63.93225,0.53385186,0.000107531625
351.28778,122.53498,223.08803,86.82771,0.76989555,0.0011457725
349.69662,120.79191,219.66702,85.40549,0.74788827,0.0018849488
534.2633,357.4535,212.93434,189.93,0.74363244,8.051046e-05
534.7636,359.1885,214.61386,187.67632,0.82569593,0.00039676446
534.40955,360.9631,212.2808,181.93095,0.70041305,0.0007973904
351.40735,122.62489,223.15164,86.956665,0.75633895,0.00090875244
349.95953,120.768776,219.72475,85.928276,0.7481279,0.0011486072
342.75488,317.38306,248.8481,454.56793,0.85921353,0.9967679
341.92975,311.6489,253.1181,453.60272,0.57967436,0.98836213
344.33148,319.34314,245.57983,445.77612,0.80301577,0.9975727
534.3585,357.26834,212.84961,190.12375,0.74724936,5.6515717e-05
534.7342,359.2378,214.5773,187.46196,0.83959085,0.00028668076
534.355,360.91705,211.39932,181.72589,0.7096401,0.0005860293
350.89413,122.81198,227.01875,88.31276,0.63266236,0.001033528
350.07578,121.09531,221.49274,88.07228,0.6154623,0.0012413084
342.6663,316.61456,250.5404,454.16776,0.85571706,0.9974254
342.10822,311.02756,251.85587,452.46115,0.57781166,0.99328595
344.06448,318.9786,246.87018,445.60605,0.78921175,0.9986701
534.628,357.4234,212.25357,189.8804,0.74158436,9.516485e-05
534.5085,359.16925,214.76492,187.21783,0.838456,0.00048439638
534.555,360.83243,211.84492,181.89731,0.6928631,0.0009705844
