x1,y1,x2,y2,confidence,class
533.32635,507.61163,107.66643,146.82458,0.7348449,0.0008847859
532.24414,508.0282,106.440125,147.51103,0.8572947,0.0006222092
531.9498,507.7202,106.95711,149.97697,0.7954234,0.000997054
533.2618,507.61127,109.53032,147.41249,0.7377821,0.0005655371
532.29,507.9596,107.6255,148.0462,0.8671709,0.00049709243
531.98157,507.71262,107.66028,150.27158,0.8074366,0.0007592845
533.26196,507.62567,109.42887,147.53496,0.74368775,0.0005298402
532.3452,508.01776,107.69101,148.33406,0.8796092,0.0005315745
532.007,507.71725,107.93435,150.60353,0.82178104,0.0008665864
532.7251,509.35303,109.5904,145.09528,0.86606324,0.0002493844
532.79944,508.97104,109.634476,145.12912,0.7944888,0.00012260348
532.3557,508.53058,108.01695,145.5351,0.86000425,0.00014652459
532.818,509.38373,110.21659,145.2068,0.8663361,0.0003124978
532.7746,508.97083,109.88117,144.71638,0.79476696,0.00014126512
532.5196,508.72293,108.74985,146.15236,0.8630992,0.00020352048
532.622,509.04404,110.04568,145.84854,0.8623787,0.0005084198
532.70306,508.84494,110.351295,144.58536,0.7915086,0.00020244712
532.2313,508.72263,108.866,145.57326,0.8438923,0.00033642285
