x1,y1,x2,y2,confidence,class
624.20654,340.5781,31.061962,74.616585,0.57618934,0.0009882363
624.3329,340.3208,30.856747,76.43233,0.56411153,0.002142823
624.3637,340.59015,31.190199,74.58706,0.5798832,0.0010839496
624.3323,340.3154,30.94929,76.42402,0.56153536,0.002362037
624.4157,340.55258,31.228462,74.4362,0.5768266,0.0013001689
624.3211,340.34113,30.946836,76.38155,0.5548454,0.0029915513
624.1031,340.6637,31.420769,77.09544,0.50709766,0.0056568766
253.1737,368.20685,480.38574,547.1986,0.710404,0.9954299
258.5542,369.00726,434.55566,542.7736,0.83482385,0.99757546
251.56673,367.96265,472.265,543.068,0.7087031,0.99780864
259.2786,368.35547,436.8496,540.84735,0.8400921,0.99895096
