x1,y1,x2,y2,confidence,class
504.14926,337.1553,109.51604,246.99344,0.79936135,9.039686e-05
504.81873,339.63138,110.90409,247.51205,0.6519541,0.00015411674
123.69856,330.3,149.48077,332.27084,0.6645393,0.0003858447
123.956314,332.30872,150.29546,332.02002,0.79740375,0.00021094822
123.13435,332.63937,150.8825,334.16986,0.7971357,0.00023150712
260.38034,338.73096,133.69336,301.2122,0.6008786,0.00031205363
259.63004,338.63113,133.27025,302.2247,0.71042246,0.0003295876
387.30728,328.96347,137.43628,299.84888,0.7347855,9.8523145e-05
385.9772,328.49744,136.28809,295.9229,0.8140162,0.00011857476
504.4643,333.94904,109.74492,253.89378,0.87699205,0.00034939713
504.25073,333.55792,110.22188,254.5648,0.88578695,0.00032165542
259.98642,343.4836,131.12993,294.3846,0.5883781,0.00011236464
123.60232,330.7539,149.69408,336.9427,0.6794412,0.00049335073
123.76609,332.45792,150.41202,335.0413,0.86078864,0.00028318673
123.105125,332.88876,150.31123,336.2967,0.8447657,0.00029304298
260.41888,339.26834,134.17728,303.79517,0.6273518,0.00038360123
259.52405,339.04593,132.63239,300.44394,0.7494336,0.00043211915
387.25015,329.47473,138.0813,297.49417,0.7490819,0.0001539609
386.22678,328.5755,135.90865,294.88727,0.820512,0.00016192209
504.53424,334.06155,109.36907,253.74594,0.87535524,0.000512212
504.29895,333.53705,110.40468,254.65904,0.88544333,0.0004077805
260.19406,343.53024,130.68771,292.0843,0.597018,0.00014058544
123.59571,330.69763,149.68108,337.08023,0.66442066,0.0011961005
123.608826,332.52,149.5213,335.31082,0.8535899,0.00069980684
122.903534,333.06494,150.5108,334.8736,0.8380283,0.000721219
260.8093,339.04364,134.48306,303.1508,0.62963784,0.00082215015
259.76672,339.20966,133.03868,300.7166,0.734122,0.0009713855
387.4048,329.04968,137.78226,296.97708,0.7550297,0.0004167741
386.16232,328.52274,135.12415,294.6744,0.81506926,0.000468958
504.31027,334.1435,110.42577,254.25511,0.8613881,0.0014145047
503.41852,333.54285,108.88387,254.82886,0.88145554,0.0011903091
260.23862,343.86465,131.2854,291.56732,0.5902087,0.00035172247
