x1,y1,x2,y2,confidence,class
366.20816,262.37732,52.06825,71.97782,0.6413908,0.9875271
366.62134,263.4474,52.985386,70.49221,0.6534089,0.9908997
366.15634,262.41034,51.937218,72.03217,0.64231735,0.99301434
366.72833,263.5479,53.42234,70.46868,0.6483366,0.99390197
366.14917,262.50146,51.94237,72.075165,0.65783477,0.99534273
366.70383,263.47162,53.52067,70.85208,0.66030467,0.99552745
403.5172,360.37994,123.99034,217.84372,0.6582392,0.00074003503
403.929,359.12695,127.83162,216.39552,0.78974617,0.00041249322
535.89136,364.02908,103.83522,238.55795,0.513181,0.994294
366.7762,262.94238,52.52466,72.24204,0.7326063,0.99620616
365.90793,262.9857,52.955067,72.56236,0.5664501,0.9942766
366.6137,262.99228,52.89987,72.57343,0.73887235,0.9945227
404.8944,360.78824,124.472946,218.54309,0.6687942,0.04355058
405.30515,362.57065,124.86405,220.47453,0.880439,0.010316909
405.19766,363.04813,126.141106,223.61937,0.7712057,0.014189198
526.1355,367.3541,114.58223,236.0601,0.74649554,0.9809888
601.6802,357.83533,76.4279,250.47789,0.5014577,0.99271977
366.8502,263.1276,52.443295,72.36294,0.7236466,0.99722975
365.99054,263.0295,52.78142,72.741135,0.54666203,0.99358976
366.69275,262.976,53.05412,72.42804,0.72723794,0.99680126
404.8199,361.00238,124.56473,219.20299,0.66080314,0.029190315
405.31015,362.40497,124.79897,220.89699,0.8814644,0.007169778
405.26358,362.84802,125.90062,223.24043,0.7779315,0.008043735
526.1665,367.42728,114.55288,235.92645,0.7366157,0.9809318
404.9501,360.75372,124.667625,219.41672,0.6739758,0.024363775
405.3808,362.27005,124.66009,220.27512,0.88145685,0.007815201
405.48972,362.31564,125.49014,223.2861,0.78181344,0.008892789
524.6013,367.42072,118.98233,237.4592,0.61736065,0.9658916
