x1,y1,x2,y2,confidence,class
524.4477,459.74088,127.35179,149.5133,0.6001604,8.1734936e-05
523.7279,459.0796,127.87019,149.26,0.50083566,0.0002063231
524.23804,459.66895,127.37353,150.59575,0.58007234,0.00012664244
523.5004,458.82178,127.696205,150.39636,0.51034725,0.00025762813
430.14517,414.27878,114.57237,108.4143,0.72188014,0.00020766437
430.34555,415.2254,113.55683,110.331276,0.7544552,0.0002322814
524.6132,458.988,125.65262,152.37764,0.66684645,0.00015468872
521.42114,459.9959,130.92755,154.40236,0.6963356,0.00029169637
524.7464,458.80493,126.300545,153.1268,0.6457442,0.00019083537
444.96167,496.8804,126.256836,95.54567,0.53582656,0.00014788612
430.2377,414.4956,114.74154,108.383804,0.7307836,0.00038147808
430.41147,414.96762,113.964775,110.54401,0.76486975,0.0003394927
524.3063,459.39328,125.45104,153.06865,0.65769994,0.0002092411
520.24774,459.95963,133.69386,154.76735,0.6805774,0.00038779946
524.81104,458.85587,126.16391,153.74005,0.651733,0.00027451408
445.1605,496.97495,126.21459,95.43932,0.53073484,0.00022486039
430.44354,414.75177,115.82687,108.70903,0.7175367,0.00056636723
430.86633,414.96243,114.20232,110.51452,0.7538189,0.000513575
523.9348,458.91214,125.19281,153.45383,0.6727057,0.00031695864
519.5242,459.83322,134.71477,153.68991,0.6924542,0.00054266345
524.49493,458.7263,126.884445,152.7376,0.6521854,0.00039095667
