x1,y1,x2,y2,confidence,class
152.86171,416.10046,262.06982,316.59616,0.89108485,0.9955011
153.74591,415.1541,258.989,315.9907,0.900638,0.99526286
460.48032,438.81134,248.92694,290.3831,0.6445561,0.8690502
463.69507,439.25082,256.6178,296.3277,0.92891574,0.9572141
463.13428,441.07327,256.8298,295.0909,0.89711004,0.93944746
152.98172,416.15085,261.00375,313.0218,0.8872061,0.9963882
153.90317,415.56735,257.58627,315.68988,0.903975,0.9961504
460.45163,438.63568,248.48033,292.16315,0.65653944,0.8718521
463.4002,439.35593,257.30408,297.4697,0.92518103,0.9581652
462.8576,441.3554,257.38037,295.42233,0.89420134,0.939004
152.88945,416.3532,260.26514,311.9392,0.8844153,0.9968099
153.88321,415.63895,257.53143,314.57062,0.8999494,0.99687696
153.99539,418.82422,257.46957,318.35507,0.5034999,0.9918967
460.2452,438.47943,249.00397,292.4355,0.66103053,0.9206905
463.43854,439.33087,256.5959,296.0439,0.924123,0.9586113
463.09515,441.77982,257.2583,294.1496,0.8923046,0.9351886
